billing_account_id,service.description,sku.id,sku.description,usage_start_time,usage_end_time,project.id,location.location,resource.name,resource.global_name,usage.amount,usage.unit,cost,currency,credits.amount,credits.name,labels
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-06T00:00:00Z,2026-07-06T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-07T00:00:00Z,2026-07-07T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-08T00:00:00Z,2026-07-08T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-09T00:00:00Z,2026-07-09T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-10T00:00:00Z,2026-07-10T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-11T00:00:00Z,2026-07-11T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-12T00:00:00Z,2026-07-12T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,10,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-13T00:00:00Z,2026-07-13T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-14T00:00:00Z,2026-07-14T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-15T00:00:00Z,2026-07-15T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-16T00:00:00Z,2026-07-16T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-17T00:00:00Z,2026-07-17T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-18T00:00:00Z,2026-07-18T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
000000-000000-000000,Compute Engine,EXAMPLE-SKU,N2 instance,2026-07-19T00:00:00Z,2026-07-19T23:59:59Z,example-project,us-central1,example-vm,//compute.googleapis.com/projects/example-project/zones/us-central1-a/instances/example-vm,24,hour,30,USD,0,,[]
